words,meanings,sets
"ameliorate, amend",improve by minor change; make something bad better,"14, 2"
"amenable, tractable","easy to control or influence, easy to deal with; open to suggestions, easily persuaded, susceptible","2, 6"
anachronistic,belonging to a period other than that being portrayed conspicuously old-fashioned,2
"audacious, brazen, insolent, intrepid","bold and without shame; fearless, adventurous (often used for humorous effect); showing a rude and arrogant lack of respect; willingness to take surprisingly bold risks, showing impudent lack of respect","2, 26, 7"
avaricious,showing extreme greed for wealth or material gain,2
"banal, hackneyed",having been overused; unoriginal and trite; lacking in originality as to be obvious and boring,"12, 2"
benign,"gentle and kind, not harmful to the environment",2
"aspersion, calumny, slander","an attack on the reputation or integrity of someone or something; defame, making false statements; false and slanderous statement about someone","2, 20, 29"
candid,truthful and straightforward,2
"castigate, chastise","rebuke or reprimand severely, punish; reprimand severely","2, 22"
"caustic, mordant, virulent","(humor) having or showing a sharp or critical quality, biting; (of a disease or poison) extremely severe or harmful in its effects/ bitterly hostile; sarcastic in a bitter way, chemical","15, 2, 9"
construe,interpret in a particular way,2
contrite,feeling or expressing remorse that one has done wrong,2
"byzantine, convoluted, tortuous",excessively complicated/ characterized by deviousness; extremely complex and difficult to follow and twisted; full of twists and turns excessively complex,"13, 2, 6"
covet,yearn to possess something belonging to another,2
craven,"lacking in courage, cowardly",2
decorum,behavior in keeping with good taste and propriety,2
deft,demonstrating skill and cleverness,2
demur,raise objections or show reluctance,2
derivative,imitative of the work of another,2
desiccate,cause to become completely dry,2
diatribe,a forceful and bitter verbal attack,2
incredulous,unwilling or unable to believe something,2
"artless, ingenuous","innocent, naive or unsuspecting; without deception, effort or pretentiousness, natural","2, 3"
abate,"become less intense or widespread, remove or reduce law",3
abjure,"solemnly renounce (a belief, cause or claim)",3
anomalous,deviating from what is standard,3
"antipathy, aversion",a deep-seated feeling of aversion; a strong dislike or disinclination,"18, 3"
arcane,"understood by few, mysterious or secret",3
arduous,"involving or requiring strenuous effort, tiring",3
"betray, denounce, stigmatize","gravely disloyal, unintentionally reveal, be evidence of; great disapproval; publicly declare to be wrong/ inform against","24, 3, 5"
"bucolic, provincial",concerning a province of a country/religions regarded as narrow-minded; relating to the pleasant aspects of the countryside,"10, 3"
burgeon,"begin to grow or increase rapidly, flourish",3
cacophonous,involving or producing harsh sounds,3
canonize,"treat of great significance, place in or regard as belonging to a canon of literacy or artistic works",3
chicanery,use of deception or subterfuge,3
coalesce,come together to from one mass or whole,3
cogent,"clear, logical and convincing",3
compelling,evoking interest in a powerful irresistible way,3
contend,"struggle to surmount a difficulty, assert something as a position in an argument",3
copious,abundant in supply,3
"cosmopolitan, universal",applicable to all cases/ ubiquitous; mixture of cultures,"20, 3"
deference,polite submission and respect,3
desultory,"lacking plan, purpose or enthusiasm, occurring randomly",3
diffident,modest or shy because of a lack of self-confidence,3
dilatory,"slow to act, intended to cause delay",3
"equivocate, prevaricate",speak or act in an evasive way; use ambiguous language,"19, 3"
polarize,divide or cause it divide into two sharply contrasting group,3
"irksome, tedious, verbose","irritation, annoying; too long, slow or dull; using or expressed in more words that are needed","18, 25, 3"
abstain,restrain oneself from doing,4
approbation,approval or praise,4
cherish,protect and care for lovingly,4
corroborate,"confirm or give support to a statement, theory or finding",4
disparate,"essentially different in kind, notable to be compared, containing elements very different from one another",4
enervate,"make someone feel drained of energy, lacking in energy",4
"ephemeral, transient, transitory",lasting for a short time; lasting for a very short time; not permanent,"19, 4, 6"
"ardent, fervent, fervid","having or displaying a passionate intensity; intensely enthusiastic or passionate, especially to an excessive degree; very enthusiastic or passionate","22, 26, 4"
incendiary,tending to stir up conflict,4
inimical,"tending to obstruct, unfriendly hostile",4
intimate,"closely acquainted, familiar, detailed or thorough",4
invigorate,give strength or energy to,4
mitigate,"make something bad less severe, serious or painful",4
obsolete,out of date,4
opaque,"unclear, not transparent",4
paradigmatic,"serving as a typical example of something, of or denoting",4
pedantic,"excessively concerned with minor details, over-scrupulous",4
"placid, serene, tranquil","calm, peaceful and untroubled, tranquil; free from disturbance, calm; not easily upset or excited, calm and peaceful","26, 4"
polemical,of or involving strongly critical writing or speech,4
"precipitate, precipitous","cause to happen suddenly, unexpectedly or premature; dangerously high or steep/ done suddenly or without careful consideration","23, 4"
profundity,great depth of insight or knowledge,4
prophetic,accurately predicting what will happen in future,4
prudent,acting with or showing care and thought for future,4
"meticulous, punctilious",showing great attention to detail or correct behavior; very careful and precious,"4, 9"
recondite,"little known, abstruse; restore/ settle/ show to be compatible/accept","16, 4"
"painstaking, scrupulous","careful, thorough, and extremely attentive to details; done with or employing great care and thoroughness","22, 4"
vacillate,"waver between different opinions or actions, be indecisive",4
aloof,"not friendly, distant, detached",5
clangor,a continuously loud banging or ringing sound,5
conventional,following traditional forms and genres,5
debunk,expose the falseness or hollowness of an idea or belief,5
diminutive,extremely or unusually small,5
discernible,"able to be discerned, perceptible, visible, noticeable",5
enigmatic,"difficult to understand, mysterious",5
"alienate, estranged","make someone feel isolated or estranged; no longer close to someone, alienated","15, 5"
fanciful,"over-imaginative, unrealistic, highly ornamental",5
frivolous,"carefree, not having any serious purpose",5
heterogeneous,diverse in character or content,5
"haughty, imperious",arrogant and domineering; arrogantly superior and disdainful,"27, 5"
"extraneous, impertinent, irreverent","irrelevant or unrelated to the subject; not showing proper respect, irrelevant; showing lack of respect for people or things that are generally taken seriously","13, 5, 7"
invasive,"tending to spread very quickly or undesirably, harmfully",5
irresolute,showing or feeling hesitancy; uncertain,5
laudable,deserving praise and commendation,5
lax,"not sufficiently strict or careful, negligible / of muscle(relaxed)",5
marginalize,"treat a person, group as insignificant or peripheral",5
panache,flamboyant confidence of style or manner,5
plodding,slow moving and unexciting,5
remedial,intended as cure/ provided or intended for children with learning difficulties/ provided or intended for children with learning difficulties,5
restive,"unable to remain still, silent, or submissive, especially because of boredom",5
sporadic,"infrequent, scattered or isolated, occasional",5
"impair, subvert, undermine, vitiate",erode the base/ lessen the effectiveness; spoil or impair thee quality or efficiency of something; undermine the power and authority of system; weaken or damage,"12, 17, 5, 6"
utterly,"completely or without qualification, absolutely",5
weary,tired(extreme),5
zealous,"showing zeal, fervent, passionate, fervid, ardent",5
admonish,warn or reprimand someone firmly,6
aesthetic,concerned with beauty,6
affectation,"pretension, facade",6
analogous,comparable in certain respects,6
bolster,support or strength,6
chauvinistic,"displaying aggressive patriotism, displaying excessive support for their own cause, group or sex",6
"cloak, dissemble, feign, sham","a person who pretends to be someone or something they are not; conceal or disguise one's true feelings or beliefs; pretend to be affected by (a feeling, state or injury); something serving to hide or disguise something","10, 11, 15, 6"
"dogged, pertinacious",holding firmly to an opinion or a cause of action; showing tenacity and grim persistence,6
dupe,"trick, a victim of deception",6
empirical,based on observation rather than theory,6
engender,cause or give rise to a feeling situation,6
entitled,give someone a legal right,6
presumptuous,failing to observe limits of what is appropriate/ brazen,6
probity,"having strong moral principles, honesty and decency",6
proliferate,"increase rapidly in number, multiply",6
"specious, spurious","not being what it purports to be, false or fake; superficially plausible but actually wrong",6
subjective,"influenced by personal feelings, tastes, opinions",6
timorous,"lack of confidence, easily frightened",6
"omnipresent, ubiquitous","present, appearing or found everywhere, omnipresent; widespread, constantly encountered","6, 8"
underscore,emphasize,6
venal,"bribery, corrupt",6
venerate,"regard with great respect, reverence",6
arbitrary,based on random choice/ unrestrained and autocratic in the use of authority,7
archaic,very old or old-fashioned,7
"clamorous, vociferous","expressing by vehement opinions, loud and forceful/ outspoken; making loud and confused noise/expressing or characterized by vehement protects or demands","16, 7"
dearth,a scarcity or lack of something,7
explicable,"able to be accounted for or understood, explainable",7
hyperbole,exaggerated statements or claims not meant to be taken literally,7
immutable,unable to be changed,7
indefatigable,"persisting tireless, tireless, untiring",7
indolent,"lazy, idle/ (of medicine) no or little pain",7
"insular, parochial","narrow-minded, limited outbreak or scope/ church; uninterested in cultures, ideas, or peoples outside one’s own experience, lacking contact with other people","19, 7"
intransigent,"unwilling to change one's views, uncompromising",7
"abhor, loathe",intense dislike or disgust for; regard with disgust and hatred,"11, 7"
malign,"evil in nature, speak about someone in a spitefully critical manner",7
malleable,"easily influenced, pliable",7
"callow, fledgling, neophyte","(of a young person) inexperienced and immature; a person who is new to a subject, activity, or religion; immature, inexperienced, underdeveloped, emerging","21, 30, 7"
plastic,easily shaped/artificial/offering scope for creativity,7
platitude,used too often to be interesting or thoughtful,7
prescient,showing knowledge of events before they take place,7
pristine,"spotless, clean and fresh, immaculate",7
"reproach, upbraid",expression of disapproval; find fault with/ scold,"17, 7"
robust,vigorous/ able to withstand adverse conditions/ forceful,7
salubrious,"healthy, pleasant",7
"countenance, sanction",facial expression/ support or approval; official permission/ a threatened penalty for disobeying rule,"13, 7"
sedulous,showing dedication and diligence,7
soporific,tediously boring or monotonous,7
tendentious,intending to promote a point of view (controversial one),7
accentuate,make more noticeable or prominent,8
conjectural,"based on or involving conjecture, speculative",8
convivial,"friendly, lively and enjoyable",8
decadent,"characterized by a state of moral or cultural decline, person who is luxuriously self-indulgent",8
"egregious, flagrant","(of something considered wrong or immoral) conspicuously or obviously offensive; outstandingly bad, shocking","30, 8"
evanescent,"soon passing out of sight, memory or existence, quickly fading or disappearing",8
"flamboyant, florid, sanguine","having red or flushed complexion/ excessively intricate or elaborate; optimistic, positive/blood-red; tending to attract attention because of confidence, stylishness/ bright, colorful and noticeable","19, 8"
"forestall, preclude",prevent from happening; make impossible; prevent or obstruct by taking advanced action,"11, 8"
gainsay,"deny, contradict, speak against or oppose",8
galvanize,shock or excite someone into taking action,8
indiscriminate,done at random or without careful judgment,8
innocuous,not harmful or offensive,8
momentary,"lasting very short time, brief",8
mundane,"lacking interest or excitement, dull",8
"fractious, nettlesome, petulant","bad-tempered/ peevish/ childishly sulky; causing annoyance or difficulty; irritable and quarrelsome/ difficult to control, unruly","11, 17, 8"
"neutralize, nullify","counteract, offset, counterbalance; make null and void, invalidate","23, 8"
"deflect, obviate","cause to change direction/ cause to deviate from intended; remove, avoid or prevent","18, 8"
oust,drive out or expel from a position or place,8
"palpable, tangible","perceptible by touch/ clear and definite; so intense as to seem, almost tangible/ plain to see or comprehend, able to be touched or felt","27, 8"
perfidy,state of being deceitful and untrustworthy,8
profuse,abundant,8
pugnacious,"eager to argue, quarrel or fight",8
sagacious,"wise or shrewd, intelligent",8
"scant, stinting",insufficient or barely sufficient; supply ungenerous or inadequate amount of something,"22, 8"
skulduggery,dishonest behavior or activities/ trickery,8
"superficial, trivial",appearing to be true but not/ cursory/ not through; of little value or importance,"13, 8"
utilitarian,designed to be useful or practical rather,8
boorish,"rough and bad-mannered, coarse",9
"abide, brook",continue; (abide by) - comply with; tolerate,"30, 9"
"circumspect, discreet","careful in order to keep something confidential/ intentionally unobtrusive; wary, cautious","14, 9"
comity,an association of nations for their mutual benefit/ considerate behavior towards others,9
commensurate,"corresponding in size or degree, in proportion",9
cordial,warm and friendly,9
deleterious,causing harm,9
dichotomy,a division or contrast between two things that are or are represented as being opposed or entirely different,9
edify,instruct or improve (someone) morally or intellectually,9
"elicit, evoke",bring or recall/ elicit(response)/ invoke; evoke or draw out (a reaction answer) from someone,"23, 9"
erudite,having or showing great knowledge or learning,9
fecund,highly fertile,9
feeble,lacking physical strength/ lacking strength of character/ failing to convince or impress,9
felicitous,well chosen or suited to the circumstances/ pleasing,9
forbear,refrain from doing something,9
haphazard,lacking any obvious principle of organization,9
hodgepodge,a confused mixture,9
"hamper, hinder, impede","basket/ hinder; hinder; obstruct/ (body part) rear, hind","10, 17, 9"
impetuous,acting or done quickly and without thought or care,9
irascible,having or showing a tendency to be easily angered,9
mercenary,making money at the expense of ethics/ a professional soldier hired to serve in a foreign army,9
"outstrip, surmount",move faster and overtake/ exceed; overcome difficulty/ stand on top of,"24, 9"
"perilous, precarious",fall of danger or risk; not securely held or in position; dangerously likely to fall or collapse/ uncertain,"11, 9"
quirky,having or characterized by peculiar or unexpected traits or aspects,9
"relinquish, renounce, repudiate",formally declare one's abandonment; refuse to accept/ deny the truth or validity; voluntarily cease to keep or claim/ give up,"12, 16, 9"
tact,skill and sensitivity in dealing with others or with difficult issues,9
"play, trifling",cunning plan/ an activity done for amusement; unimportant or trivial,"25, 9"
turbulent,"characterized by conflict, disorder/ not stable",9
acumen,the ability to make good judgments and take quick decisions,10
antithesis,contrast or opposition between two things,10
ascribe,"regard text, quotation or work/ regard a quality as belonging to",10
"befuddled, confound",cause surprise or confusion/ prove theory wrong/ defeat/ mixed up with something else; unable to think clearly,"10, 20"
eschew,deliberately avoid using; abstain from,10
esoteric,likely to be understood by only a small number of people/ abstruse/ arcane/ obscure,10
evasive,tending to avoid commitment or self-revelation,10
"exculpate, exonerate",absolve from blame for wrongdoing/ release from duty; show or declare that someone is not guilty of wrongdoing,"10, 22"
expedite,make (an action) happen sooner or be accomplished more quickly,10
"clandestine, furtive, surreptitious","keep secret, especially because it would not be approved of; kept secret or done secretively; secretive/ suggestive of guilty nervousness","10, 11, 14"
indispensable,absolutely necessary,10
"dirge, lament","a lament for the dead, especially one forming part of a funeral rite; a passionate expression of grief or sorrow","10, 27"
myopic,short-sighted,10
nonchalant,calm and relaxed/ not displaying anxiety,10
partial,incomplete/ biased/ having a liking for,10
pensive,engaged in serious thought,10
portend,be a sign or warning that something calamitous is likely to happen,10
rudimentary,limited to basic principles/ relating to immature form,10
salutary,producing good efforts/ beneficial,10
sever,"divide by cutting or slicing, suddenly and forcibly/ put to an end/ break off",10
"slight, tenuous","slight, very slender or fine, thin, shaky, insubstantial; small in degree/ inconsiderate/ insult by treating without proper respect","10, 30"
somnolent,"sleepy, drowsy",10
stoic,a person who can endure pain without complaining,10
"supersede, supplant",supersede and replace; take the place of other/ supplant,"10, 26"
tout,attempt to sell/ attempt to persuade people of the merits of/ informer,10
wane,"decrease in vigor or extent, become weaker",10
boisterous,"noisy, energetic and cheerful/(of weather) stormy",11
chivalrous,courteous and gallant especially towards women,11
churlish,rude in a mean-spirited and surly way,11
complacent,showing smug or uncritical satisfaction with oneself or one's achievements/ self-satisfied,11
cumbersome,"large or heavy and therefore difficult to carry or use/ unwieldy/ complicated, inefficient; unwieldy, unmanageable, complicated","11, 22"
debilitating,"make someone weak and infirm/ hinder, delay",11
deliberate,done consciously and intentionally,11
droll,curious or unusual in a way that provokes dry amusement/ funny/ comic/ amusing,11
"eccentric, outlandish",(of a person) unconventional and slightly strange; looking or sounding bizarre or unfamiliar,"11, 29"
"limpid, lucid, pellucid","clear, easily understood; completely clear and transparent/ accessible or melodious; expressed clearly; easy to understand","11, 13, 15"
"mawkish, sentimental","prompted by feeling of tenderness, sadness or nostalgia; sentimental in an exaggerated or false way","11, 27"
obeisance,"deferential respect, bow or curtsy",11
"ostentatious, pretentious","characterized by pretentious or showy display; designed to impress; ostentatious, attempting to impress by affecting greater important or merit than is actually possessed","11, 23"
panacea,a solution or remedy for all difficulties or diseases,11
pervasive,(unwelcome influence) spreading widely throughout an area or a group of people,11
predilection,a preference or special liking for something/ bias in favor,11
rapacious,aggressively greedy or grasping,11
relish,great enjoyment/ pleasurable anticipation,11
satirical,containing or using satire/ mocking another's weakness,11
"evade, skirt",be situated along or around the edge of/ avoid dealing with; escape or avoid something especially by guile or trickery,"11, 16"
sluggish,"slow moving, lacking energy or alertness",11
truculent,eager to argue; aggressively defiant,11
acrimonious,angry and bitter,12
belligerent,hostile and aggressive,12
"beneficent, benevolent",generous and doing good; well meaning and kindly,"12, 24"
canny,showing shrewdness and good judgment especially in money or business,12
cavalier,dashing man as a lady's escort/ showing lack of concern,12
distressed,"suffering from extreme anxiety, sorrow or pain",12
dwindling,"gradually diminishing in size, amount or strength",12
eclipse,deprive something of significance and power,12
encyclopedia,comprehensive in terms of information,12
"exacerbate, exasperated",intensely irritated and frustrated; make problems worse,12
fungible,mutually interchangeable,12
incongruous,not in harmony or keeping with surroundings,12
interchangeable,apparently identical,12
"laconic, terse","sparing in the use of words, abrupt; using very few words","12, 20"
lucrative,providing a great deal or profit,12
magisterial,"domineering, dictatorial",12
onerous,"involving great deal of effort, trouble, and burdensome",12
opprobrium,harsh criticism or censure,12
parsimonious,very unwilling to spend money or use resources,12
peripheral,"minor importance, marginal",12
provocative,"causing anger or another strong reaction, especially deliberately/ annoying",12
tempestuous,characterized by strong or conflicting emotion,12
tenable,defensible,12
transgression,act that goes against law,12
urbane,courteous and refined in manner,12
verisimilitude,the appearance of being true or real,12
affinity,a natural liking for something/ resemblance,13
altruistic,selfless,13
baroque,highly ornate and extravagant in style,13
compromise,agreement/ harm by accepting standards that are lower than is desirable/ cause to become vulnerable,13
conciliatory,intended or likely to placate or pacify,13
covert,"not openly acknowledged or displayed/secretive, clandestine",13
credible,"able to be believed, trustworthy",13
documentary,"based on official documents or aspects, comprehensive",13
"exhaustive, thorough","complete with regard to every detail; including all elements or aspects, comprehensive","13, 16"
exhilarating,"thrilling, making one fell very happy, animated",13
fervor,intense and passionate feeling,13
futile,"fruitless, pointless",13
illusory,based on illusion,13
invidious,"unpleasant, illusion",13
lethargic,"sluggish, lazy",13
metaphorical,figurative,13
mimic,imitate,13
numinous,having strong religious or spiritual quality,13
obscure,not discovered or known about/ abstruse,13
overt,done or shown openly,13
perpetuate,make (something) continue indefinitely,13
rational,based on or in accordance with reason or logic,13
scathing,scornful/ harm,13
"pernicious, subtle",delicately complex/ making use of clever and indirect methods to achieve something; having a harmful effect especially in a gradual way,"13, 18"
acquiesce,accept something reluctantly without protest,14
adroit,clever or skillful,14
"animosity, animus",hostility or ill feeling/ motivation to do something; strong hostility,"14, 21"
apologist,a person who offers an argument in defense of something controversial/ defender,14
astringent,sharp or severe in manner or style/ causing the contraction of skin cells and other body tissues,14
collaborate,work jointly on an activity or project/ corporate,14
competent,efficient and capable,14
correlate,"correspond, connect",14
deride,ridicule,14
dictate,an order or principle that must be obeyed/ give orders,14
divorced,separate from something typically with an undesirable effect,14
elitist,demonstrating a superior attitude or behavior associated with an elite,14
flummoxed,bewildered or perplexed,14
fruitful,"fertile, productive",14
inborn,"natural to a person, or animal",14
polymath,a person of wide knowledge or learning,14
reticent,"reserved, not revealing one's feelings readily",14
stringent,"strict, precise and exacting",14
subservient,"prepared to obey others unquestioningly, subordinate",14
tantalizing,torment or teasing with the sight or promise of something unobtainable,14
tantamount,equivalent in seriousness to; virtually the same as,14
torpor,"a state of physical or mental inactivity, lethargy",14
trenchant,vigorous or incisive in expression or style,14
umbrage,offense or annoyance,14
versatile,adoptable to many different functions or activities,14
"obdurate, obstinate, wayward",difficult to control or predict because of willful or perverse behavior; stubbornly refusing to change one's opinion or course of action; very difficult to change or overcome,"14, 22, 30"
apathy,"lack of interest, enthusiasm or concern",15
apropos,with reference to; concerning/very appropriate to a particular situation,15
"apt, pertinent","relevant to a particular matter, apposite; suitable in the circumstances/ having a tendency to do something/ quick to learn",15
consensus,a general agreement,15
distort,pull or twist out of shape/give an misleading or false account of or impression of,15
divergent,tending to be different or develop in different directions,15
elated,make someone ecstatically happy,15
"enchant, enthrall","capture the fascinated attention of, charm, enchant; fill someone with great delight/ put under a spell","15, 21"
entrenched,"(of an attitude, habit or belief) firmly established and difficult or unlikely to change; ingrained",15
exotic,organizing in or characteristic of a distant foreign country/ attractive/ specially produced,15
exploitative,treating others unfairly in order to gain an advantage,15
foreseeable,able to foreseen or predicted,15
forsake,"abandon, renounce",15
gratify,give someone pleasure or satisfaction,15
heed,pay attention to/ take notice of,15
"foolhardy, heady, judicious","having, showing or done with good judgment; intoxicating / having a strong or exhilarating effect; recklessly bold or harsh","15, 17, 27"
propriety,conformity to conventionally accepted standards of behavior/ the condition of being right,15
scintillation,shining brightly/ brilliantly clever,15
"arresting, sensational",causing great public interest and excitement; eye-catching /seize/ attract the attention/ stop or check,"15, 22"
sophisticated,"having, revealing or involving a great deal of worldly experience and knowledge of fashion or culture",15
strife,angry or bitter disagreement over fundamental issues,15
understated,presented or expressed in a subtle and effective way,15
unscrupulous,having or showing no moral principles; not honest or fair,15
veracity,conformity to facts; accuracy/ habitual truthfulness,15
violate,"(of a substance) easily evaporated at normal temperatures / liable to change rapidly and unpredictably, especially for the worse",15
antedate,precede in time/ come before in date,16
"banish, relegate",assign an inferior rank or position to; send someone away from a country as an official punishment/ get rid of,"16, 27"
"bridle, curb, inhibit",prevent/ make someone self-conscious/ forbid to function; restrain or check on something; used to control movement/ show one's anger,"16, 23"
comply,act in accordance with a wish or command,16
crestfallen,sad and disappointed,16
curtain,piece of material/ a disastrous outcome,16
elucidate,make something clear/ explain,16
feckless,"lacking initiative or strength of character, irresponsible",16
fester,"(of wound) become septic, (of feeling) become worse,",16
iconoclastic,criticizing cherished beliefs or institutions,16
immure,enclose or confine against their will,16
"extemporize, improvise","create and perform spontaneously or without prep/ make from whatever is available; improvise, ad lib","16, 30"
inscrutable,impossible to understand or interpret,16
lionize,give a lot of public attention and approval to someone,16
peculiar,strange/ particular; special/ belonging exclusively to,16
premeditate,think out or plan beforehand,16
refine,remove impurities/ make minor changes to improve,16
ruminate,think deeply about something,16
skittish,"(of animal) easily scared, (of person) unpredictable, playfully frivolous",16
superfluous,"unnecessary, especially through being more than enough/ surplus, redundant",16
synoptic,of or forming general summary/ taking or involving a comprehensive mental views,16
visionary,thinking about or planning the future with imagination,16
acclaim,praise enthusiastically and publicly,17
ascertain,"find (something) out for certain, make sure of",17
assertive,having or showing a confident and forceful personality,17
bogus,not genuine or true,17
cataclysmic,large-scale and violent,17
circumscribe,restrict (something) within limits,17
complementary,combining in such a way as to enhance or emphasize the qualities of each other or another,17
contentious,"controversial, quarrelsome",17
disingenuous,not candid or sincere/ typically pretending that one,17
divulge,make known (private or sensitive info)/ disclose/ reveal,17
dogmatic,inclined to law down principles as underlying true/ highly opinionated,17
fallacious,based on a mistaken belief,17
impugn,"dispute the truth, call into question/ challenge",17
incessant,continuing without pause or interruption,17
inclined,sloping/ willing to do something/ make someone disposed to do something,17
inveterate,long-established and unlikely to change,17
miserly,of or characteristic by of a miser/(quantity) pitiably small/ inadequate,17
"manifest, patent","government authority or license/ easily recognizable; obvious/ demonstrate/ become apparent through the appearance of a symptoms, (of ghost) appear","17, 20"
pithy,"(of plant) containing much pith, (of language or style) terse and vigorously expressive",17
sanctimonious,making a show of being morally superior to other people/ self-righteous,17
"profound, sound",not damaged/ good judgment/ competent/ an idea or impression conveyed by words; very great or intense/ showing great knowledge,"17, 23"
tarnish,make or become less valuable or respected,17
tepid,lukewarm/ showing little enthusiasm,17
vexation,"the state of being annoyed, frustrated or worried",17
abet,encourage or assist someone to do something wrong,18
accessible,able to be reached or entered,18
acquisitive,excessively interested in acquiring money or materials,18
amalgamate,combine or unite to form one organization or structure,18
attenuate,"reduce the force, effect or value of",18
augment,"make something greater by adding to it, increase",18
blithe,showing a casual and cheerful indifference considered to be callous or improper,18
"contempt, scorn, spurn",contempt/ refuse to do something because one is to proud; reject with disdain or contempt; the feeling that a person or a thing is worthless or beneath consideration,"18, 30"
dawdle,"waste time, be slow",18
discount,regard as being unworthy of consideration,18
"dissident, heterodox",in opposition of official policy/ dissenting; not conforming with accepted or orthodox standards or beliefs,"18, 22"
efficacious,"successful in producing a desired result, effective",18
equitable,fair and impartial,18
"erratic, fickle, mercurial","changing frequently especially as regard one's loyalties or affections/ capricious; not even or regular in pattern or movement, unpredictable; subject to sudden or unpredictable changes of mood or mind","18, 24, 26"
industrious,diligent and hardworking,18
inform,give facts or information,18
manacle,shackles/ handcuffs,18
modest,"not large, elaborate or expensive/ self-deprecating",18
noxious,"harmful, poisonous or very unpleasant",18
predicament,"a difficult, unpleasant or embarrassing situation",18
"adept, proficient",competent or skilled in doing or using something prolix – (of speech or writing) using or containing too many words; tediously lengthy; very skilled at something,"18, 25"
subordinate,of less or secondary importance,18
"indecorous, unseemly","improper, unseemly; not proper or appropriate","18, 30"
veritable,"used for emphasis, often to quality a metaphor",18
acolyte,an assistant or follower,19
anoint,rubbing with oil/ choose as successor to or leading candidate for a position,19
"base, radical","far-reaching, thorough, revolutionary; use as the foundation or starting point of something/ sordid, improper, low",19
coercion,the action or practice of persuading someone to do something by using force or threat,19
coin,"invent, create/ money",19
cunning,skill in achieving one's ends by deceit,19
discomfort,make someone feel uneasy or embarrassed,19
dissent,disagreement,19
distill,purify / extract the essential meaning or most important aspects of,19
dubious,"hesitating/ not to be relied upon, morally suspect",19
ebullient,cheerful and full of energy,19
facetious,treating serious issues with deliberately inappropriate humor; flippant,19
fallible,capable of making mistakes or being wrongs,19
gawky,nervously awkward and ungainly,19
"cajole, inveigle, wheedle",persuade someone to do something by means of deception or flattered; persuade to do something by flattery; use flattery or coaxing in order to persuade someone to do something or give one something,"19, 27"
jettison,abandon or discard/ throw or drop,19
mendacity,untruthfulness,19
"lavish, munificent",characterized by great generosity; very generous or extravagant/ rich,"19, 26"
naive,"showing lack of experience, innocent",19
noble,belonging by rank/ high moral principles/superior quality,19
prime,of first importance/ most suitable/ hey-day,19
recrudescence,the recurrence of an undesirable condition,19
temporal,"secular, worldly, non-spiritual",19
abreast,side by side and facing the same way,20
digression,a temporary departure from the main subject in speech or writing,20
discrepancy,an illogical or surprising lack of compatibility or inconsistency,20
